ID;IdCliente;FechaRecepcion;IdTipoEquipo;RAM;PlacaMadre;MarcaModelo;Microprocesador;Almacenamiento;CdDvd;Fuente;Adicionales;NumSerie;IdTipoServicio;Descripcion;CostoRepuestos;CostoTerceros;CostoCG;CostoTotal;FechaDevolucion;Ganancia;Estado
27;47;27/7/2019 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Se cablearon 4 cámaras, pero por pedido del cliente solo se instalaron 2.;1480,0000;0,0000;1750,0000;3230,0000;27/7/2019 00:00:00;1750,0000;True;
28;47;27/7/2019 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Se instalaron dos jaulas en las dos cámaras de la vereda. Se cambió DVR viejo por uno nuevo y se configuró la vista remota.;3800,0000;0,0000;550,0000;4350,0000;27/7/2019 00:00:00;550,0000;True;
29;47;12/8/2019 00:00:00;3;-;-;Sin datos;-;-;-;-;-;-;3;Desinstalación de aplicaciones inecesarias, limpieza de caché y archivos temporales, y revisión general.;0,0000;0,0000;300,0000;300,0000;12/8/2019 00:00:00;300,0000;True;
30;56;17/8/2019 00:00:00;1;-;-;Sentey;-;-;-;-;-;-;3;Limpieza de suciedad interna. Cambio de pasta térmica. Emprolijamiento de conexiones y cables.;0,0000;0,0000;500,0000;500,0000;20/8/2019 00:00:00;500,0000;True;
31;1;4/9/2019 00:00:00;10;-;-;Sony Play Station 3;-;-;-;-;-;-;3;Falla en mother que originó falla en unidad de DVD / lente;0,0000;3500,0000;500,0000;4000,0000;2/11/2019 00:00:00;500,0000;True;
32;24;9/11/2019 00:00:00;1;-;-;Over Case;-;-;-;-;-;-;3;Formateo con backup (windows 7 ultimate x64) y limpieza interna general.;0,0000;0,0000;600,0000;600,0000;9/11/2019 00:00:00;600,0000;True;
33;36;19/11/2019 00:00:00;1;-;-;Super Power;-;-;-;-;-;-;3;Suciedad en cable de boton power - Pantalla azul (error ACPI BIOS) - suciedad interna;0,0000;0,0000;300,0000;300,0000;19/11/2019 00:00:00;300,0000;True;
34;59;24/11/2019 00:00:00;1;-;-;Sentey;-;-;-;-;-;-;3;Limpieza general. Cambio de pasta térmica, cambio de pila HMI, cambio de ficha de cooler de tapa izquierda.;0,0000;0,0000;400,0000;400,0000;24/11/2020 00:00:00;400,0000;True;
35;48;3/2/2020 00:00:00;1;-;-;Sentey X10;-;-;-;-;-;-;3;Instalación de windows 10 pro x64 y software básico.;0,0000;0,0000;600,0000;600,0000;4/2/2020 00:00:00;600,0000;True;
36;4;8/2/2020 00:00:00;1;-;-;Data Vision;-;-;-;-;-;-;3;Limpieza general. Cambio de fuente (LNZ 550w), pasta térmica, instalación de Win7 Ult. x32).;1205,0000;0,0000;1155,0000;2360,0000;10/2/2020 00:00:00;1155,0000;True;
37;47;21/2/2020 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Se cambió una cámara vieja por una nueva Hik-Vision 2Mpx Metal.;1400,0000;0,0000;500,0000;1900,0000;21/2/2020 00:00:00;500,0000;True;
38;39;12/3/2020 00:00:00;3;-;-;Admiral FU43N;-;-;-;-;-;-;3;Se tuvo que reconfigurar la BIOS, ya que se reseteó debido a un corte de luz.;0,0000;0,0000;300,0000;300,0000;12/3/2020 00:00:00;300,0000;True;
39;3;10/4/2020 00:00:00;1;-;-;Kelly;-;-;-;-;-;-;3;Cambio de Placa madre por otra igual nueva. Limpieza general y chequeo de voltaje de pila (3,06v). Formateo (windows 10 pro x64) con backup. Reparación de lectograbadora CD/DVD.;2660,0000;0,0000;300,0000;2960,0000;25/4/2020 00:00:00;300,0000;True;
40;60;25/4/2020 00:00:00;7;-;-;LED JVC 24" LT-24DR530;-;-;-;-;-;-;3;Reparación de placa MAIN por corto en la misma;0,0000;1900,0000;800,0000;2700,0000;1/5/2020 00:00:00;800,0000;True;
41;43;25/4/2020 00:00:00;3;-;-;Toshiba Satellite L745-SP4201A;-;-;-;-;-;-;3;Cambio de HDD por SSD. Instalacion de SO win10 pro x64. Cambio de teclado por nuevo. Cambio de pila de MB.;1445,0000;0,0000;500,0000;1945,0000;2/5/2020 00:00:00;500,0000;True;
42;35;2/5/2020 00:00:00;9;-;-;iPhone 6 A1549;-;-;-;-;-;-;3;Reparación de placa madre y cambio de batería;2649,0000;0,0000;1351,0000;4000,0000;5/5/2020 00:00:00;1351,0000;True;
43;31;20/5/2020 00:00:00;1;-;-;Genérico;-;-;-;-;-;-;3;Formateo Win7 x64;0,0000;0,0000;500,0000;500,0000;30/5/2020 00:00:00;500,0000;True;
44;31;20/5/2020 00:00:00;3;-;-;Acer;-;-;-;-;-;-;3;Cambio de teclado y Formateo Win10 x64;1625,0000;0,0000;1000,0000;2625,0000;30/5/2020 00:00:00;1000,0000;True;
45;31;20/5/2020 00:00:00;5;-;-;Genérica 7";-;-;-;-;-;-;3;Intercambio de partes internas con otra tablet que entro sin funcionar;0,0000;0,0000;500,0000;500,0000;30/5/2020 00:00:00;500,0000;True;
46;36;26/5/2020 00:00:00;1;-;-;Genérico;-;-;-;-;-;-;1;Armado e instalación de componentes y sistema operativo.;0,0000;0,0000;1000,0000;1000,0000;29/5/2020 00:00:00;1000,0000;True;
47;58;26/5/2020 00:00:00;1;-;-;Cirkuit Planet;-;-;-;-;-;-;1;Armado e instalación de componentes y sistema operativo.;0,0000;0,0000;1000,0000;1000,0000;29/5/2020 00:00:00;1000,0000;True;
48;51;4/6/2020 00:00:00;4;-;-;Coradir CDR Class G5;-;-;-;-;-;-;3;Cambio de MB (desbloqueo de BIOS) y cambio de pila de MB.;1350,0000;0,0000;950,0000;2300,0000;6/6/2020 00:00:00;950,0000;True;
49;61;18/6/2020 00:00:00;1;-;-;Kellyx;-;-;-;-;-;-;3;Limpieza interna. Cambio de fuente y boton power. Agregado de 1Gb RAM DDR2. Formateo con backup (win7 ult. X64).;1850,0000;0,0000;3650,0000;5500,0000;30/6/2020 00:00:00;3650,0000;True;
50;31;20/6/2020 00:00:00;3;-;-;RCA A4 3145B;-;-;-;-;-;-;3;Cambio de teclado y Formateo Win10 x64;4200,0000;150,0000;2100,0000;6450,0000;30/5/2020 00:00:00;2100,0000;True;
51;45;20/7/2020 00:00:00;3;-;-;Commodore;-;-;-;-;-;-;3;Formateo sin backup (Win 7 ult. X64). Cambio de pila de MB. Limpieza interna y externa. Cambio de grasa disipadora.;0,0000;0,0000;1000,0000;1000,0000;26/7/2020 00:00:00;1000,0000;True;
52;42;20/7/2020 00:00:00;3;-;-;Lenovo G450;-;-;-;-;-;-;3;Cambio de parlantes. Formateo con backup (win7 ult. X64). Limpieza interna y externa. Cambio de grasa disipadora.;970,0000;0,0000;2830,0000;3800,0000;30/7/2020 00:00:00;2830,0000;True;
53;26;27/7/2020 00:00:00;9;-;-;Motorola Moto G6;-;-;-;-;-;-;3;Reparación de parlante / auricular;0,0000;1200,0000;600,0000;1800,0000;30/7/2020 00:00:00;600,0000;True;
54;53;28/7/2020 00:00:00;3;-;-;Toshiba Satellite L755;-;-;-;-;-;-;3;Formateo sin backup (win7 ult. X64). Limpieza interna y externa.;0,0000;0,0000;1000,0000;1000,0000;30/7/2020 00:00:00;1000,0000;True;
55;44;23/8/2020 00:00:00;3;-;-;Lenovo G50-30;-;-;-;-;-;-;3;Formateo con backup (windows 10 pro x64), e instalación de porgramas básicos. Limpieza externa.;0,0000;0,0000;1200,0000;1200,0000;24/8/2020 00:00:00;1200,0000;True;
56;19;30/8/2020 00:00:00;6;-;-;Epson TX220;-;-;-;-;-;-;3;Cabezal de impresión muy tapado. Unidad de limpieza muy tapada. Suciedad interna pegada.;0,0000;3540,0000;700,0000;4240,0000;12/9/2020 00:00:00;700,0000;True;
57;12;2/9/2020 00:00:00;9;-;-;Samsung Galaxy J7 Neo;-;-;-;-;-;-;3;Reparación de boton Power (se soldo el boton a la placa main);0,0000;2000,0000;700,0000;2700,0000;4/9/2020 00:00:00;700,0000;True;
58;60;11/9/2020 00:00:00;9;-;-;Motorola Moto G7 Play;-;-;-;-;-;-;3;Cambio de modulo.;0,0000;6300,0000;700,0000;7000,0000;12/9/2020 00:00:00;700,0000;True;
59;9;12/9/2020 00:00:00;3;-;-;Samsung NP300E5C;-;-;-;-;-;-;3;Formateo sin backup (win7 ult. X64). Cambio de pila de placa madre. Limpieza externa.;0,0000;0,0000;4000,0000;4000,0000;17/9/2020 00:00:00;4000,0000;True;
60;26;13/9/2020 00:00:00;3;-;-;Samsung RV511;-;-;-;-;-;-;3;Formateo con backup y limpieza externa.;0,0000;0,0000;1000,0000;1000,0000;16/9/2020 00:00:00;1000,0000;True;
61;23;14/9/2020 00:00:00;5;-;-;Coradir +Simple C01;-;-;-;-;-;-;3;Se reconfiguro aplicación de inicio predeterminada y se cambió el vidrio táctil por uno nuevo.;2770,0000;0,0000;700,0000;3470,0000;19/9/2020 00:00:00;700,0000;True;
62;40;15/9/2020 00:00:00;5;-;-;Asus K01A;-;-;-;-;-;-;3;Se reparó corto en placa madre y se reemplazo el pin de carga.;1000,0000;0,0000;800,0000;1800,0000;21/9/2020 00:00:00;800,0000;True;
64;49;17/9/2020 00:00:00;1;-;-;Genérico;-;-;-;-;-;-;1;Armado e instalación de componentes y sistema operativo.;0,0000;0,0000;2000,0000;2000,0000;18/9/2020 00:00:00;2000,0000;True;
65;24;20/9/2020 00:00:00;1;-;-;Over Case Negro;-;-;-;-;-;-;3;Agregado de SSD 120Gb y 2 coolers fan 120mm. También se instaló Win 10 pro x64 en el SSD.;3226,0000;0,0000;1500,0000;4726,0000;24/9/2020 00:00:00;1500,0000;True;
66;7;21/9/2020 00:00:00;3;-;-;Dell Inspiron 13-7353;-;-;-;-;-;-;3;Cambio de batería interna por nueva. Formateo con backup (win10 pro x64).;13359,0000;0,0000;1800,0000;15159,0000;23/9/2020 00:00:00;1800,0000;True;
67;46;1/10/2020 00:00:00;3;-;-;Bangho Max G5;-;-;-;-;-;-;3;Instalación de paquete Office 2016 x64, Photoshop CS3 y Corel Draw. Optimización de inicio.;0,0000;0,0000;500,0000;500,0000;2/10/2020 00:00:00;500,0000;True;
68;41;10/10/2020 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Se instaló un DVR nuevo HIK-VISION DS7208HQ y se quitó un DVR viejo. También se registro una nueva cuenta HIK-VISION.;6500,0000;0,0000;2000,0000;8500,0000;10/10/2020 00:00:00;2000,0000;True;
69;41;10/10/2020 00:00:00;1;-;-;Sentey;-;-;-;-;-;-;3;Se agregó un disco SSD Kingston 120Gb. Formateo con backup y limpieza interna y externa.;2230,0000;0,0000;2000,0000;4230,0000;17/10/2020 00:00:00;2000,0000;True;
70;20;24/10/2020 00:00:00;3;-;-;Acer Aspire ES1-532G;-;-;-;-;-;-;3;Formateo con backup (Win10 Pro x64). Y limpieza interna y externa. Se configuró la BIOS en modo "LEGACY".;0,0000;0,0000;2000,0000;2000,0000;25/10/2020 00:00:00;2000,0000;True;
71;7;26/10/2020 00:00:00;3;-;-;Dell Inspiron 13-7353;-;-;-;-;-;-;3;Se detecto cargador en corto que no carga bateria. Se compro un cargador nuevo.;3700,0000;0,0000;0,0000;3700,0000;4/11/2020 00:00:00;0,0000;True;
72;7;3/11/2020 00:00:00;3;-;-;Asus N501JW;-;-;-;-;-;-;3;Se realizó un formateo con backup y se instalo windows 10 pro x64 y programas basicos.;0,0000;0,0000;2000,0000;2000,0000;4/11/2020 00:00:00;2000,0000;True;
